用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,商品型号
17710901508,一直想买个户外电源有空出去露营或者旅行，恰好6.18打折力度很大，直接下单买了，感觉很划算，便宜了好多，已经充满电了，找时间去露营，好评,2022-06-18 12:34:29,0,1,5,2022-06-28 19:43:01,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17675235161,是个非常好的宝贝哦，出去玩带着真的超级给力，再也不用担心吃夹生饭了哦。外面的手提包也很厚实，做工很好。说明书描述很详细，一学就会。最后夸夸客服，耐心细致态度好。,2022-06-18 08:47:20,0,1,5,2022-06-21 19:04:09,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18932037510,"宝贝收到了，卖家发货很快，物流也非常给力,客服服务态度极好，很有耐心、给人一种亲切感，好喜欢。还有包装精美，高端大气上档次;看得出来商家很用心。宝贝真心不错，与图片相符，没有任何差异，真的是物超所值。",2023-03-10 23:08:26,1,1,5,2023-03-23 08:26:15,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
19024045041,东西今天收到，如卖家描述一样，送了汽车应急充电线，主体电箱很厚重，做工精致，包装精美，期待使用效果！,2023-04-12 20:43:48,0,2,5,2023-04-15 13:16:29,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17827520914,收到产品就迫不及待和朋友出去野炊了，照明用了三四个小时，电量才下了7%，非常实用，真的不用在像以前那样担心手机没电，担心太阳下山了，值得推荐的好产品,2022-07-21 11:11:02,0,1,5,2022-07-26 11:25:48,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18297973759,很快就到了，全新正品?，包装很仔细，没有问题。(*^__^*)非常满意的一次购物，物有所值！,2022-10-24 10:49:50,0,0,5,2022-10-29 10:44:00,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17593911108,快递箱完整、清洁，先是来了个小惊喜：电池包，两日后，正品到货。电池比想象的要轻，非常方便携带！做工精良，颜色搭配非常协调，边缘呈曲面、光滑，人机工程学应用的特佳，液晶屏及各个插座清晰、明了，配件齐全。还没应用，但相信会有一个满意的结果！,2022-05-31 18:55:12,3,1,5,2022-06-06 21:03:41,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18715947601,很实用，相当好，做工优秀，外业工作很给力，后悔买小了。有点贵，点赞。,2023-01-02 15:48:48,0,1,5,2023-01-21 09:10:26,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17454422836,"做工质感：非常的不错，摸着很舒服，用料很厚实
蓄电容量：蓄电池电量很大，野外手机充电绝对没有问题，以后有机会，还想买个大容量的，这个容量只能一些手机充电，不超过500W的可以，电水壶还是用不了&hellip;&hellip;
充电速度：充电速度很快，几乎和家里的一样
便携性能：非常方便，放在后备箱里不占用任何空间",2022-03-08 00:00:04,1,1,5,2022-05-06 13:38:36,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17414395000,很好，外观很漂亮，设计小巧，方便携带，不占地方，实物跟图片上一样，外壳质感也不错，看着很大气，而且细节处理的很好，希望跟描述的一样好用，已经在充电了，目前充电很正常,2022-04-22 16:46:58,0,1,5,2022-04-26 14:37:21,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17795298812,非常好 很棒 质感很好 儿子很喜欢,2022-06-19 00:55:36,0,1,5,2022-07-18 17:47:54,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17629717250,早就想下手户外蓄电装备，选了好多款，最终还是决定选中电小二，买回来时有85%电量，几个小时就充满，很快！在户外亲历一次，带投影仪，带音箱。带手机充电，从七点到晚上十一点，还剩35%的电量。非常耐用，也够用了！还带有车启动打火夹线！,2022-06-06 10:46:17,0,1,5,2022-06-13 20:43:48,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17680375078,颜值很棒，做工精致，各个按键很有质感，应该不错，相信大品牌。,2022-06-16 00:00:03,0,1,5,2022-06-22 17:04:51,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
19025588825,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。,2023-02-08 22:42:00,0,1,5,2023-04-15 22:42:07,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18164594174,挺不错的，很满意，这样户外去玩或者干嘛就会很方便，临时应急也可以,2022-09-29 21:30:23,0,0,5,2022-10-04 22:16:09,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17596613926,还没使用，用过后在评价,2022-06-01 13:15:29,0,1,3,2022-06-07 12:53:54,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17329951178,宝贝前一个星期就收到了，因为疫情所以耽搁了一段时间。昨天才打开充电，打开时显示52的电量，用市电充了4个小时充满。今天多云有点太阳，试一下太阳能板，充电在显示在40-50w之间。在工地活动房使用，试后很满意，达到预期。老板人很好，按约定送了线缆。,2022-03-22 11:40:56,0,2,5,2022-04-04 12:59:39,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17595250397,好东西终于到手了，可以说这个户外电源我足足盯了半年，也比较了半年，趁着618搞活动，马上入手一台。实物拿起来质感非常好，也有点份量，各种电源适配器也很到位，使用起来非常方便。刚到手电源显示39%电量，先把电充好，有机会到户外实用一下，再追评。,2022-06-03 11:57:20,0,1,5,2022-06-07 08:03:28,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17464693842,宝贝收到，物流很快，提前两天收到。送了一个吊床、一个12V汽车电池充电线，很贴心！宝贝有6公斤，一只手提起无压力。有45%的电量，按照首次使用提示需充电至100%，正在充电中，预计3.5小时可充满。期待以后使用带来更多的惊喜！,2022-05-02 22:01:50,0,2,5,2022-05-08 19:34:05,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18371052944,很好，经过朋友介绍，质量没得说，户外杠杠的，建议购买,2022-10-26 15:52:30,0,0,5,2022-11-11 22:40:30,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17395311626,电源外观做工很不错，各种输入，输出设置设计的很齐全，还有灯，送的汽车电瓶搭电线，贴纸，收纳包都特别好，绝对是户外必备的物品，值得购买！,2022-04-18 11:32:37,0,1,5,2022-04-21 18:23:45,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17353030641,"非常给力，做工很好，很有份量。
这个电量和体量，非常适合家庭周末户外游。太阳能充电很方便。买这个主要是为了以后和朋友出去野外露营过夜的时候不至于为电发愁。?真是户外神器。
送的包，隔热防水，电源线也可以放进去，方便很多。还送了给车子搭火的线，有备无患。
我买的500W的，强烈建议买1000W的，通用性更好。性价比合适。",2022-03-29 08:04:39,0,1,5,2022-04-11 08:54:01,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17331642521,为自驾出行准备的！很好用！出门给手机，无人机，笔记本，蓝牙音箱充电很好用！设计也很人性化！,2022-03-22 12:58:47,0,1,5,2022-04-04 21:30:50,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18666656807,充电挺快，用来做饭也很好，值得购买!,2023-01-05 13:46:56,0,1,5,2023-01-08 09:10:28,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17804010504,体积小！携带方便！冲电猛，断电时的好帮手，五星赞！,2022-06-20 20:05:11,0,1,5,2022-07-20 18:09:51,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17760169126,物超所值，值得购买，是正品啊。,2022-07-06 07:37:28,0,2,5,2022-07-10 10:20:39,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16749023707,"双十一买的套装，非常给力，做工很好，很有份量。周末带家人露营用过两次，天黑了照明用，给投影机供电，看看电影，不要太惬意。
这个电量和体量，非常适合家庭周末户外游。太阳能充电很方便。买这个主要是为了以后和朋友出去野外露营过夜的时候不至于为电发愁。?真是户外神器。
周末出去玩，白天用太阳能板把电充满了。晚上用了三个钟，给55w的投影机供电，还有两条氛围灯，用完还剩76%的电。时不时有围观群众过来问我怎么放投影的，我指着电小二告诉他原因?
送的包，隔热防水，电源线也可以放进去，方便很多。还送了给车子搭火的线，有备无患。",2021-11-11 00:03:15,12,4,5,2021-11-30 21:27:38,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16659593639,很满意。电源收到显示还有44%的电量，我试着用家里的电饭煲用了一次，电饭煲输入功率是330W，煮饭需要35分钟，煮好后，电量显示还剩18%。也就是说我买的这个移动电源大概用这个电饭煲可以用134分钟左右。以后出门，煮个饭什么的就方便了。很棒！,2021-11-11 17:00:05,2,1,5,2021-11-16 13:44:02,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15890196365,很好用，有直流和交流输出，充电很快，还有3个USB充电，很方便，质量很好，带剩余电量显示，非常好的电源。做工很好，有个提手，拎起来很便捷。,2021-06-26 13:47:29,0,1,5,2021-06-29 16:12:56,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15680628547,做工扎实，精致，每个接键手感好，外形美观，颜色好看，提手一体化，方便携带到户外，电池容量大，可以满足一夜需求的照明和手机，风扇的用电，用了几天了，觉得很满意,2021-05-10 06:54:49,0,1,5,2021-05-16 20:20:31,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15981994444,"做工质感：电源的开山鼻祖。质量可靠。
蓄电容量：五百瓦的容量可以足够无人机飞一天。
充电速度：充电速度和家里的充电差不多。
便携性能：便携性能优秀。提着很轻。握把很舒服。
其他特色：接口众多，可以满足一般外出需求。",2021-05-24 20:01:18,3,1,5,2021-07-14 09:20:50,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16340532257,"孩子住校，用的电器都是无线的，所以买了电小二储电装置，朋友介绍的，说质量很好，所以买了两个，一个300W,一个500W，小的用一周，大的估计10天左右，每天都是吹风机充电，有时候台灯充电，质量不错，外观也很好看，重量还可以，包装结实，物流很快，满意的购物！",2021-09-12 20:51:13,3,2,5,2021-09-21 15:44:37,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16603781570,可以，非常不错，大小合适，不是很沉，带着也方便。平时放家里，充满电保存，作为备用电源，停电的时候有大用。测试了风扇，挺好用。投影仪也可以。,2021-11-02 23:35:52,1,1,5,2021-11-09 08:56:03,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16776435390,500w移动电源买来周末周边游用的，店小二品牌知名度高，专门天眼查了一下电小二资质，注册资金1000万，深圳市华宝新能源股份有限公司控股。可以给大疆无人机电池充电，手机充电，笔记本电脑充电，露营时投影使用，电风扇，电饭煲，电冰箱户外也能用。移动电源自带500w移动电源买来周末周边游用的，店小二品牌知名度高，专门天眼查了一下电小二资质，注册资金1000万，深圳市华宝新能源股份有限公司控股。可以给大疆无人机电池充电，手机充电，笔记本电脑充电，露营时投影使用，电风扇，电饭煲，电冰箱户外也能用。移动电源自带led灯，携带方便，重量适合，一个小拇指就能提起。准备再入手配套的电小二太阳能板，白天给移动电源充电，晚上露天投影使用，完美！！！京东物流特快，第二天就收到，包装精美，送的礼品很丰富，帽子，水杯，充电宝，吊床。双十一下单，性价比超厉害??????下单，性价比超厉害??????,2021-11-11 00:32:59,1,3,5,2021-12-06 15:59:32,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17567157029,"看上去就很好?
做工质感：好
便携性能：好
蓄电容量：好
充电速度：好",2022-05-27 16:31:08,0,1,5,2022-06-01 15:52:26,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15865003116,买了户外做实验用的，使用特别方便，质量特别好，很方便，很实用，外观设计也比较好，很棒的产品，这个牌子也是同事介绍的，户外必备。,2021-06-01 01:08:08,2,1,5,2021-06-24 21:31:11,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16675724935,这个品牌，没问题，这次家里再也不怕停电了。每次停电都害怕手机没电，路由器没电，现在好了，停电吧，家里网络不停，电也充足，还送了小礼物，物超所值。,2021-11-11 22:11:18,2,1,5,2021-11-17 23:08:34,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15146874196,"做工质感：外壳塑料材质，很有分量。有品牌的颜色涂装，辨识度很高。
蓄电容量：电池的容量目前轻度户外使用，还算满意吧。日常一些小型电器，手机充电宝，之类的可以完全满足。大型的取暖设备，或者做饭功率大的电器，建议需要选购更大的那个型号
充电速度：充电速度，目前0度左右车库内充电和宣传7.5小时差不多，最后一格电比较满，得益于比较保守的充电当时这样比那些快充对电池更加友好
便携性能：便于携带到车内户外，这个设计非常方便。
抗摔能力：目前没摔过，看外壳材质用料和做工应该是很结实。
其他特色：外形漂亮，每个输出电源接口都有单独的开关，可以很好的保护电量。",2021-01-04 09:23:03,2,1,5,2021-01-06 11:23:38,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17622489444,大品牌值得信赖，外观很有质感，500W不玩穿越一般长途自驾已经够了，中午做顿饭，晚上吹吹风扇，手机充充电&hellip;。,2022-06-10 06:54:21,0,1,5,2022-06-12 16:11:51,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16340091992,买了就降价 不值这个钱,2021-08-07 02:30:49,5,2,1,2021-09-21 14:19:37,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16007036812,太阳能充电，市电充电和车充都测试了，好用而且充电速度快，基本满足需求。还测试了电饭煲煮饭，三百瓦二十五分钟煮熟，仅耗电25%，相当不错。,2021-07-13 08:12:34,3,2,5,2021-07-19 12:39:29,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17239419881,关注好久了，电小二户外品牌，这次外出飞无人机，电老不够用，现在有了电小二，外出飞无人机再也不用担心电的问题了，可以飞很长时间啦,2022-03-05 10:35:36,0,1,5,2022-03-11 19:43:17,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16445820036,包装很好，里三层外三层的，预冲电量48％，首次使用必须充满，先用太阳能板试试，充电显示2W，不知道时间单位，做工不错，赠品多多，便于携带。,2021-10-07 10:01:41,3,4,5,2021-10-11 10:06:03,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16348224229,不错，非常喜欢，已经盼望许久，终于等到京东优惠，果断入手，经典500w，拎起来很有分量，用起来称心如意，看起来也很有颜值，美出天际，以后好好把玩,2021-09-21 08:59:10,3,4,5,2021-09-23 06:34:06,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
13761642745,"做工质感：光滑，无毛边，电池用料足，拎在手里沉甸甸的
蓄电容量：够用，手机充电，应急照明，车辆打手都可以
充电速度：7个小时充满，可以接受
便携性能：一个大提把，方便携带
抗摔能力：整体封装，感觉很结实，并用螺丝加固
其他特色：颜色比较时尚",2020-01-26 19:19:27,2,1,5,2020-01-29 20:42:54,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
13076363241,质量非常棒，做工精致，与图片描述的一致，携带方便，安全性可靠，储存电量很大，电压稳定，什么电器都可以用，设计非常实用，大功率的很耐用持久，真的很不错,2019-07-13 10:02:10,0,1,5,2019-08-02 11:49:31,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17409578491,入手这个也是刚看了网上大神们的测评，上网络找了很多资料，觉得这个牌子还是可以信赖的。乡下经常停电，买个移动电源备用，可以照明也可以给手机和手提电脑充电，挺实用的，我很满意。,2022-02-25 00:28:35,0,2,5,2022-04-25 11:26:38,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
12694028827,非常好的户外移动电源，质量非常棒，做工精致，与图片描述的一致，携带方便，安全性可靠，储存电量很大，电压稳定，什么电器都可以用，设计非常实用，大功率的很耐用持久，真的很不错，下次有需要还会再来,2019-04-23 16:54:03,8,5,5,2019-04-26 11:45:25,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16162763024,店小二户外电源包装非常好，顺丰快递物流很快，收到一切完好。户外电源外观光洁手感舒适，充电速度很快，第一次充电充满到100只用了7个小时不到，按说明书要求多充了一会。显示屏标示清晰，拎起来不重，很便携，外出放在车子里不占地方。五星好评！,2021-06-18 00:43:49,0,1,5,2021-08-19 16:28:41,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
13257125596,"做工质感：非常不错
蓄电容量：够用了
充电速度：很快
便携性能：很好
抗摔能力：没试过
很好的移动电源，做工挺好，电力较充沛。电源到手后，看了一下余电还有36%，用一个200W的电煮锅烧了大约1500毫升的水，直至烧开，余电基本用完。新的电源，余电不耐用，需要用几个循环，电池电力会有所提升。",2019-09-17 20:23:34,0,1,5,2019-09-23 21:33:19,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17494821249,送了包和电线，包装好，速度快，最关键可以240v电压输入，在国外也可以用，期待使用后评价，到现在为止，很不错，老板送了礼物,2022-05-11 22:04:19,0,1,5,2022-05-15 16:07:26,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15329536382,电小二户外移动电源支持多种输出类型，比如交流220V、USB 5v和点烟器12V，只是缺少type-c接口，也不支持PD快充。输入只支持直流充电，可以通过配套的100W太阳能板输入，可以适合很多户外应用场合。 电源很大很重，不过好在有个很强悍的把手，搬动起来很方便。太阳能板也很重，展开后非常大。,2021-02-03 15:57:50,0,2,5,2021-02-19 04:17:17,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17404812798,"东西非常不错，很喜欢，充电比较快，也算比较耐用了
就是没有现在礼物合适，没有送收纳包很可惜",2022-04-07 08:52:26,0,1,5,2022-04-24 07:58:45,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18383460347,不错，非常漂亮，精致小巧。,2022-11-10 20:00:04,0,0,5,2022-11-13 21:03:40,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18839097503,东西很好，质量过硬，点个赞,2023-02-22 12:12:48,0,0,5,2023-02-28 20:16:10,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16413256002,"这是一款很不错的移动电源户外电源，有usb，ac,dc接口，我主要用ac为我的平板电脑，手机，相机电池，笔记本充电，电量很充沛，我很满意。",2021-09-27 15:14:34,0,1,5,2021-10-05 10:26:57,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
14847461636,"做工质感：摸着很舒服  没异物感  光滑  没什么做工瑕疵的地方
蓄电容量：和实际标明的一致  蓄电持久耐用
充电速度：正常的充电速度  用不了特别长的时间就充满了
便携性能：小巧方便  户外的话手提就可以呆着了  也不重
其他特色：供电速度真的一级棒  接口也很多  满足了多台设备供电  虽然小巧但是功能齐全  完全是长在供电界的宝贝  小屏幕显示电量也很人性化  赠送的小包收纳线还是不错的",2020-09-09 08:37:47,0,2,5,2020-11-05 16:16:17,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17958369365,很不错哦，尺寸很袖珍，功能全面，户外好帮手,2022-08-12 23:06:37,0,1,5,2022-08-24 17:08:21,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16857712693,东西收到了，手感非常好，做工精细，客服服务很好，及时解答遇到的问题，算下来买了一个礼拜了，体验感很好，电量充实，没有掉电情况，使用后需要及时关闭输出按键,2021-12-14 00:14:30,0,1,5,2021-12-22 21:33:02,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
14959473443,"做工质感：很棒！
蓄电容量：正合适
充电速度：可以显示
便携性能：携带方便
抗摔能力：不舍得摔
其他特色：做工精致，质感很好，外出旅游，自驾好帮手！在车里用电有了很好的信心。一般电器手机充电再也不担心了",2020-11-11 23:39:46,0,1,5,2020-11-25 12:53:09,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
14366504005,做工讲究，质感很好，按要求充满电，试了一次。两个人量的米饭用500w的电压力锅，十几分钟开锅用了不到三分之一电，然后转8w供电，十几分钟后，饭熟。总共消耗了31%电量。估计给小电器供电没问题，适合户外！,2020-06-21 15:51:46,3,1,5,2020-07-01 12:33:43,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
15876659017,从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家宝贝做工真的非常精细，细节真的棒，爱了爱了物流很快，质感很好，很漂亮，很喜欢外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！物超所值，非常满意，期间有点小插曲，店家细致周到的服务让人很感动，祝生意兴隆，还会再来,2021-06-07 14:39:18,0,1,5,2021-06-27 10:24:27,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16451657117,电瓶真不错。使用时间很长。晚上在外边摆摊再也不用为电愁了。投影仪可以用2天这样。推荐购买。价格划算。有需要的闭眼入。外边摆摊神器。,2021-09-12 20:19:12,0,1,5,2021-10-12 16:56:20,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16693214914,"我心心念念的电小二终于到手，对于户外爱好者这个简直太爱了，双十一活动给力，果断出手，还在心心念念1200，看看双12有什么活动直接拿下
做工质感：棒
蓄电容量：我这个偏小，不能做饭
便携性能：强，我一个女生可以拿的动哦",2021-11-10 22:45:31,0,1,5,2021-11-20 18:50:15,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
